opcode[7] funct3[3] funct7[7] rs2[5] addi slli slti sltiu xori srli srai ori andi lb lh lw lbu lhu jalr ecall ebreak
0010011 0x0 0x00 0x00 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0010011 0x1 0x00 0x00 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0010011 0x2 0x00 0x00 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0010011 0x3 0x00 0x00 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0010011 0x4 0x00 0x00 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0010011 0x5 0x00 0x00 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0010011 0x5 0x20 0x00 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
0010011 0x6 0x00 0x00 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
0010011 0x7 0x00 0x00 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0

0000011 0x0 0x00 0x00 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
0000011 0x1 0x00 0x00 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
0000011 0x2 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
0000011 0x3 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0000011 0x4 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
0000011 0x5 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0000011 0x6 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0000011 0x7 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

1100111 0x0 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
1110011 0x0 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
1110011 0x0 0x00 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1

0000000 0x0 0x00 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0000000 0x0 0x01 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
